row_id,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_excessive_drinking,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__homicides_per_100k,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,poverty_rate
0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Noncore adjacent to a large metro area,Federal/State government-dependent,0.358,0.089,0.253,0.099,0.494,0.2,0.195,0.044,0.517,0.378,0.056,0,0.2238955823,0.3453815261,0.2730923695,0.1576305221,10,11,0.345,0.219,0.159,0.154,,0.317,12,9.33,33.75,5429,6949,b,22.6
2,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.503,0.057,0.171,0.065,0.503,0.243,0.166,0.017,0.016,0.954,0.002,0.018,0.1135241856,0.4846989141,0.2359328727,0.1658440276,12,11,0.296,0.222,0.123,0.08,0.177,0.35,14,2.1,23.81,3060,1749,b,17.3
4,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Federal/State government-dependent,0.471,0.07,0.297,0.122,0.497,0.25,0.178,0.554,0.002,0.428,0.009,0.008,0.2363455809,0.3098311817,0.3157894737,0.1380337637,10,11,0.267,,0.092,0.079,,0.259,10,,,690,,b,24.4
5,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Federal/State government-dependent,0.578,0.049,0.231,0.107,0.474,0.194,0.196,0.031,0.002,0.916,0.043,0.002,0.09136546185,0.3885542169,0.3493975904,0.1706827309,7,13,0.272,0.293,0.084,0.1,0.174,0.249,11,,23.11,1430,1160,b,16.4
8,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.53,0.046,0.262,0.067,0.513,0.206,0.101,0.433,0.096,0.294,0.011,0.149,0.1715976331,0.2662721893,0.1903353057,0.3717948718,15,6,0.232,0.165,0.08,0.086,0.178,0.253,11,3.4,3.68,1700,1870,a,17.4
9,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.481,0.065,0.158,0.041,0.513,0.222,0.212,0.009,0,0.966,0.012,0.004,0.08072653885,0.3733602422,0.3451059536,0.2008072654,11,12,0.302,0.268,0.112,0.055,,0.302,11,,20.14,4649,3139,a,12.2
10,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.458,0.045,0.193,0.102,0.485,0.194,0.286,0.025,0.005,0.954,0.005,0,0.06490872211,0.4006085193,0.3884381339,0.1460446247,9,12,0.32,0.099,0.151,0.049,,0.303,11,,,3039,,a,12.6
11,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.413,0.09,0.244,0.054,0.53,0.242,0.194,0.021,0.428,0.548,0.002,0,0.1779324056,0.4244532803,0.2743538767,0.1232604374,14,12,0.367,0.262,0.132,0.142,0.167,0.354,11,,30.64,6989,7030,a,25
12,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Mining-dependent,0.475,0.058,0.21,0.083,0.497,0.295,0.101,0.088,0,0.895,0.01,0.006,0.09605662285,0.3640040445,0.3417593529,0.1981799798,15,7,0.304,0.174,0.075,0.093,0.133,0.263,12,,24.01,1510,2619,b,10.1
13,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.375,0.08,0.229,0.062,0.504,0.222,0.184,0.029,0.005,0.953,0.008,0,0.3107971746,0.3652875883,0.229061554,0.09485368315,14,13,0.308,0.21,0.101,0.113,,0.337,13,,46.28,3379,2569,a,26
15,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Mining-dependent,0.823,0.033,0.248,0.121,0.484,0.25,0.15,0.786,0.014,0.189,0.011,0.003,0.3140900196,0.3336594912,0.1976516634,0.1545988258,10,7,0.301,,0.1,,,0.279,9,,,,,b,17.9
17,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.393,0.104,0.265,0.077,0.529,0.265,0.13,0.027,0.486,0.475,0,0,0.2147177419,0.3991935484,0.2913306452,0.09475806452,14,12,0.358,0.092,0.131,0.128,,0.312,13,10.79,31.88,11689,2609,b,31.9
21,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.446,0.116,0.313,0.096,0.502,0.312,0.097,0.621,0.011,0.315,0.028,0.039,0.3191919192,0.2565656566,0.2898989899,0.1343434343,17,7,0.28,0.142,0.08,0.061,0.189,0.2,10,8.7,16.87,2139,2349,a,27.4
22,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.495,0.026,0.235,0.14,0.494,0.21,0.231,0.025,0.001,0.945,0.007,0.003,0.152,0.369,0.282,0.197,13,17,0.277,,0.099,,,0.321,10,,,,,a,9.8
23,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.457,0.079,0.33,0.161,0.502,0.257,0.154,0.392,0.11,0.466,0.016,0.029,0.2264529058,0.3577154309,0.2625250501,0.1533066132,15,10,0.298,0.238,0.111,0.089,,0.288,9,9.31,18.79,3350,3060,b,22
25,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.479,0.036,0.225,0.098,0.503,0.285,0.183,0.02,0.002,0.607,0.353,0.009,0.1323971916,0.3801404213,0.3299899699,0.1574724173,18,10,0.364,0.223,0.121,0.056,0.181,0.3,12,,24.68,1760,1460,b,21.3
27,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Mining-dependent,0.525,0.042,0.332,0.2,0.472,0.299,0.103,0.645,0.021,0.312,0.007,0.011,0.3188118812,0.3712871287,0.2059405941,0.103960396,16,5,0.296,,0.091,0.058,,0.269,11,,,,1729,a,8.8
29,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.46,0.066,0.158,0.065,0.513,0.247,0.163,0.024,0.057,0.883,0,0.001,0.07837301587,0.4097222222,0.316468254,0.1954365079,11,11,0.306,0.232,0.103,0.087,0.181,0.282,8,,18.63,2389,2100,a,16.8
